,GAME,DATE,AGE,TEAM,OPP,RESULT,MP,FG,FGA,FGP,THREE,THREEATT,THREEP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,GAME_SCORE,MINUS_PLUS
306,69,2007-03-28,22.088,CLE,NYK,L,43.55,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,24,15.7,3
307,70,2007-03-31,22.091,CLE,CHI,W,47.24,14,25,0.56,0,3,0.0,11,13,0.846,1,4,5,9,3,0,7,39,28.9,4
308,71,2007-04-03,22.094,CLE,MIN,W,41.49,13,24,0.542,0,2,0.0,5,5,1.0,2,10,12,6,4,1,2,31,30.3,21
309,72,2007-04-05,22.096,CLE,MIA,L,48.36,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,35,25.3,3
310,73,2007-04-06,22.097,CLE,WAS,W,44.25,7,23,0.304,0,3,0.0,11,14,0.786,0,6,6,5,1,1,2,25,14.3,5
311,74,2007-04-08,22.099,CLE,DET,L,43.06,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,20,11.3,-11
312,75,2007-04-12,22.103,CLE,NJN,W,35.15,15,27,0.556,0,1,0.0,5,9,0.556,3,5,8,4,2,1,2,35,27.2,21
313,76,2007-04-14,22.105,CLE,ATL,W,31.57,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,23,22.0,25
314,77,2007-04-17,22.108,CLE,PHI,W,36.03,7,15,0.467,0,2,0.0,4,7,0.571,1,4,5,6,0,0,1,18,13.0,-4
315,78,2007-04-18,22.109,CLE,MIL,W,39.58,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,24,20.0,22
316,1,2007-10-31,22.305,CLE,DAL,L,36.09,2,11,0.182,0,2,0.0,6,10,0.6,1,4,5,4,1,0,5,10,0.6,-12
317,2,2007-11-02,22.307,CLE,NYK,W,44.25,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,45,36.7,4
318,3,2007-11-04,22.309,CLE,PHO,L,43.13,11,26,0.423,3,5,0.6,2,2,1.0,1,4,5,8,2,4,3,27,22.5,-18
319,4,2007-11-06,22.311,CLE,GSW,W,41.51,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,24,25.9,4
320,5,2007-11-07,22.312,CLE,UTA,L,40.45,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,32,27.9,4
321,6,2007-11-09,22.314,CLE,SAC,W,43.51,10,19,0.526,0,2,0.0,6,8,0.75,0,4,4,4,1,1,1,26,20.2,-1
322,7,2007-11-11,22.316,CLE,LAC,W,35.55,9,21,0.429,0,2,0.0,4,8,0.5,1,4,5,8,6,1,5,22,17.3,11
323,8,2007-11-12,22.317,CLE,DEN,L,33.47,9,16,0.563,1,3,0.333,8,14,0.571,0,1,1,4,2,0,4,27,16.9,-13
324,9,2007-11-14,22.319,CLE,ORL,L,47.14,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,39,37.6,2
325,10,2007-11-16,22.321,CLE,UTA,W,40.16,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,40,31.5,13
326,11,2007-11-20,22.325,CLE,MIL,L,44.06,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,34,26.7,-2
327,12,2007-11-21,22.326,CLE,MIN,W,39.03,17,26,0.654,6,10,0.6,5,8,0.625,2,6,8,5,3,2,3,45,39.7,14
328,13,2007-11-24,22.329,CLE,TOR,W,44.41,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,37,33.6,7
329,14,2007-11-25,22.33,CLE,IND,W,35.47,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,30,30.7,9
330,15,2007-11-27,22.332,CLE,BOS,W,45.46,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,38,34.4,14
331,16,2007-11-28,22.333,CLE,DET,L,19.31,5,11,0.455,0,2,0.0,5,9,0.556,0,1,1,3,0,0,0,15,9.7,-2
332,17,2007-12-11,22.346,CLE,IND,W,22.37,5,9,0.556,0,1,0.0,7,10,0.7,1,2,3,5,1,1,4,17,13.2,27
333,18,2007-12-14,22.349,CLE,NJN,L,41.09,12,25,0.48,3,9,0.333,2,3,0.667,0,6,6,8,2,0,6,29,18.1,6
334,19,2007-12-15,22.35,CLE,PHI,L,41.46,10,18,0.556,0,1,0.0,1,1,1.0,0,6,6,6,0,1,3,21,15.7,5
335,20,2007-12-17,22.352,CLE,MIL,W,50.13,10,25,0.4,0,5,0.0,11,13,0.846,1,7,8,5,1,0,2,31,20.8,6
336,21,2007-12-19,22.354,CLE,NYK,L,36.52,12,21,0.571,3,6,0.5,5,6,0.833,1,7,8,6,6,0,4,32,30.3,-9
337,22,2007-12-20,22.355,CLE,LAL,W,38.28,12,29,0.414,0,3,0.0,9,11,0.818,4,6,10,5,1,1,3,33,22.3,-7
338,23,2007-12-23,22.358,CLE,GSW,L,40.51,8,20,0.4,0,2,0.0,9,13,0.692,2,3,5,8,1,1,3,25,18.4,-12
339,24,2007-12-25,22.36,CLE,MIA,W,38.36,9,19,0.474,0,3,0.0,7,11,0.636,0,6,6,12,1,1,2,25,22.4,18
340,25,2007-12-27,22.362,CLE,DAL,W,36.19,9,21,0.429,1,4,0.25,5,10,0.5,4,4,8,7,3,0,3,24,17.8,5
341,26,2007-12-29,22.364,CLE,NOH,L,42.21,8,21,0.381,1,4,0.25,4,6,0.667,2,3,5,6,1,0,4,21,11.8,-18
342,27,2008-01-02,23.003,CLE,ATL,W,40.05,13,22,0.591,1,3,0.333,9,11,0.818,1,4,5,6,2,1,2,36,31.4,7
343,28,2008-01-04,23.005,CLE,SAC,W,45.21,7,18,0.389,1,6,0.167,9,12,0.75,1,7,8,10,5,1,3,24,25.1,7
344,29,2008-01-06,23.007,CLE,TOR,W,45.44,14,29,0.483,4,8,0.5,7,12,0.583,3,8,11,8,0,0,1,39,31.0,-1
345,30,2008-01-08,23.009,CLE,SEA,W,35.1,8,18,0.444,0,3,0.0,6,6,1.0,2,6,8,3,2,0,4,22,15.1,13
346,31,2008-01-09,23.01,CLE,ATL,L,43.23,13,22,0.591,0,4,0.0,5,9,0.556,3,7,10,6,3,1,3,31,27.1,-7
347,32,2008-01-11,23.012,CLE,CHA,W,49.36,10,20,0.5,2,7,0.286,9,15,0.6,5,14,19,8,4,3,8,31,28.8,-2
348,33,2008-01-15,23.016,CLE,MEM,W,47.1,18,28,0.643,6,12,0.5,9,16,0.563,3,5,8,9,3,1,4,51,45.0,10
349,34,2008-01-17,23.018,CLE,SAS,W,38.54,9,24,0.375,1,5,0.2,8,12,0.667,3,6,9,7,0,2,3,27,19.0,-11
350,35,2008-01-21,23.022,CLE,MIA,W,39.4,11,26,0.423,1,4,0.25,5,5,1.0,1,2,3,5,4,1,5,28,17.1,12
351,36,2008-01-23,23.024,CLE,WAS,W,31.08,7,13,0.538,1,3,0.333,8,9,0.889,2,6,8,8,2,1,0,23,27.0,31
352,37,2008-01-25,23.026,CLE,PHO,L,39.26,14,30,0.467,0,1,0.0,8,10,0.8,2,5,7,5,2,0,1,36,26.0,-12
353,38,2008-01-27,23.028,CLE,LAL,W,44.08,16,32,0.5,1,5,0.2,8,12,0.667,3,6,9,4,2,0,5,41,25.5,-3
354,39,2008-01-30,23.031,CLE,POR,W,43.53,13,29,0.448,3,6,0.5,8,12,0.667,2,12,14,4,2,2,4,37,26.3,3
355,40,2008-02-02,23.034,CLE,LAC,W,43.48,8,19,0.421,1,4,0.25,11,16,0.688,0,11,11,7,2,1,3,28,23.0,15
356,41,2008-02-05,23.037,CLE,BOS,W,42.24,11,21,0.524,4,8,0.5,7,10,0.7,1,8,9,12,5,2,7,33,30.4,12
357,42,2008-02-07,23.039,CLE,HOU,L,41.13,12,23,0.522,2,5,0.4,6,11,0.545,1,6,7,6,2,2,3,32,25.8,-11
358,43,2008-02-08,23.04,CLE,ATL,W,44.0,11,24,0.458,0,3,0.0,4,4,1.0,4,7,11,7,2,1,1,26,24.3,5
359,44,2008-02-10,23.042,CLE,DEN,L,32.36,11,23,0.478,2,5,0.4,6,6,1.0,1,4,5,3,2,0,5,30,18.9,-25
360,45,2008-02-11,23.043,CLE,ORL,W,43.51,8,15,0.533,1,2,0.5,12,15,0.8,1,6,7,10,3,1,5,29,27.5,10
361,46,2008-02-13,23.045,CLE,SAS,L,42.44,17,31,0.548,1,5,0.2,4,7,0.571,2,4,6,9,0,1,3,39,27.9,-4
362,47,2008-02-19,23.051,CLE,HOU,L,42.08,7,18,0.389,4,7,0.571,8,11,0.727,2,11,13,11,2,0,5,26,23.6,-8
363,48,2008-02-20,23.052,CLE,IND,W,43.14,11,22,0.5,1,5,0.2,8,12,0.667,2,12,14,12,2,1,4,31,30.1,14
364,49,2008-02-22,23.054,CLE,WAS,W,44.32,11,20,0.55,2,6,0.333,9,14,0.643,3,12,15,8,1,1,3,33,31.0,2
365,50,2008-02-24,23.056,CLE,MEM,W,39.02,10,17,0.588,1,4,0.25,4,5,0.8,1,6,7,11,3,1,6,25,23.8,19
366,51,2008-02-26,23.058,CLE,MIL,L,37.5,16,24,0.667,1,3,0.333,2,5,0.4,0,4,4,6,0,1,2,35,26.3,-2
367,52,2008-02-27,23.059,CLE,BOS,L,39.0,7,24,0.292,1,6,0.167,11,15,0.733,4,4,8,4,0,0,3,26,13.4,-13
368,53,2008-02-29,23.061,CLE,MIN,W,43.35,11,22,0.5,1,4,0.25,7,9,0.778,2,6,8,13,2,0,3,30,28.7,12
369,54,2008-03-02,23.063,CLE,CHI,W,39.51,15,29,0.517,0,5,0.0,7,8,0.875,3,3,6,6,1,0,3,37,27.1,21
370,55,2008-03-05,23.066,CLE,NYK,W,43.5,16,30,0.533,7,13,0.538,11,16,0.688,1,7,8,10,4,0,2,50,44.0,11
371,56,2008-03-06,23.067,CLE,CHI,L,37.55,13,27,0.481,2,8,0.25,11,12,0.917,0,3,3,1,1,3,4,39,25.2,-21
372,57,2008-03-08,23.069,CLE,IND,W,38.13,11,24,0.458,5,8,0.625,11,12,0.917,4,7,11,4,1,2,2,38,32.5,15
373,58,2008-03-10,23.071,CLE,POR,W,43.41,7,18,0.389,1,4,0.25,9,13,0.692,1,9,10,11,1,2,4,24,22.1,10
374,59,2008-03-12,23.073,CLE,NJN,L,45.41,12,23,0.522,2,7,0.286,16,23,0.696,3,8,11,7,1,2,6,42,31.7,-4
375,60,2008-03-13,23.074,CLE,WAS,L,43.23,9,22,0.409,1,7,0.143,6,8,0.75,2,5,7,7,0,0,7,25,11.6,3
376,61,2008-03-16,23.077,CLE,CHA,W,41.4,11,24,0.458,1,3,0.333,10,16,0.625,2,5,7,10,1,2,1,33,28.7,17
377,62,2008-03-17,23.078,CLE,ORL,L,42.14,11,22,0.5,1,4,0.25,7,11,0.636,2,7,9,6,0,1,3,30,22.4,-7
378,63,2008-03-19,23.08,CLE,DET,W,41.04,11,19,0.579,2,5,0.4,6,7,0.857,3,4,7,6,1,1,0,30,29.9,15
379,64,2008-03-21,23.082,CLE,TOR,W,41.24,14,22,0.636,1,3,0.333,0,0,,0,12,12,5,1,0,5,29,21.9,-3
380,65,2008-03-22,23.083,CLE,MIL,L,38.35,9,25,0.36,3,9,0.333,8,10,0.8,4,7,11,4,2,0,4,29,18.8,-12
381,66,2008-03-26,23.087,CLE,NOH,L,40.33,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,21,19.9,-3
382,67,2008-03-29,23.09,CLE,DET,L,35.18,4,17,0.235,1,5,0.2,4,6,0.667,0,4,4,5,0,0,5,13,1.6,-19
383,68,2008-03-30,23.091,CLE,PHI,W,41.47,11,18,0.611,1,2,0.5,3,3,1.0,3,6,9,9,3,1,1,26,29.1,7
384,69,2008-04-02,23.094,CLE,CHA,W,31.13,11,19,0.579,1,4,0.25,6,6,1.0,2,2,4,5,3,2,4,29,23.6,3
385,70,2008-04-03,23.095,CLE,CHI,L,38.3,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,33,21.7,-1
386,71,2008-04-05,23.097,CLE,ORL,L,42.22,6,22,0.273,1,5,0.2,4,8,0.5,5,2,7,9,2,2,5,17,10.8,-15
387,72,2008-04-09,23.101,CLE,NJN,W,35.22,11,21,0.524,1,4,0.25,10,13,0.769,4,3,7,8,1,2,0,33,32.4,10
388,73,2008-04-11,23.103,CLE,CHI,L,38.11,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,34,24.5,-10
389,74,2008-04-13,23.105,CLE,MIA,W,35.15,3,9,0.333,0,1,0.0,7,9,0.778,0,11,11,7,1,2,5,13,12.3,-3
390,75,2008-04-14,23.106,CLE,PHI,W,41.41,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,27,17.6,-5
391,1,2008-10-28,23.303,CLE,BOS,L,36.0,9,21,0.429,0,4,0.0,4,8,0.5,1,6,7,6,2,1,3,22,14.1,-3
392,2,2008-10-30,23.305,CLE,CHA,W,30.16,7,15,0.467,0,2,0.0,8,12,0.667,2,7,9,9,0,1,5,22,17.0,10
393,3,2008-11-01,23.307,CLE,NOH,L,37.43,6,15,0.4,0,3,0.0,3,4,0.75,2,5,7,13,3,0,5,15,15.3,-8
394,4,2008-11-03,23.309,CLE,DAL,W,34.08,8,20,0.4,0,2,0.0,13,15,0.867,2,6,8,3,2,1,1,29,24.0,13
395,5,2008-11-05,23.311,CLE,CHI,W,35.5,13,23,0.565,0,2,0.0,15,16,0.938,2,7,9,6,4,0,5,41,36.0,22
396,6,2008-11-07,23.313,CLE,IND,W,39.2,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,27,21.5,-3
397,7,2008-11-08,23.314,CLE,CHI,W,39.12,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,41,31.0,12
398,8,2008-11-11,23.317,CLE,MIL,W,42.46,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,41,35.7,11
399,9,2008-11-13,23.319,CLE,DEN,W,38.02,10,20,0.5,0,0,,2,4,0.5,1,7,8,11,3,0,5,22,18.1,14
400,10,2008-11-15,23.321,CLE,UTA,W,42.03,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,38,35.9,33
401,11,2008-11-18,23.324,CLE,NJN,W,35.58,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,31,20.3,17
402,12,2008-11-19,23.325,CLE,DET,L,39.3,8,21,0.381,0,4,0.0,9,10,0.9,1,5,6,6,4,0,3,25,20.1,-5
403,13,2008-11-22,23.328,CLE,ATL,W,36.35,8,19,0.421,1,4,0.25,7,7,1.0,1,6,7,8,2,0,2,24,20.8,16
404,14,2008-11-25,23.331,CLE,NYK,W,30.2,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,26,20.8,17
405,15,2008-11-26,23.332,CLE,OKC,W,17.08,7,12,0.583,0,1,0.0,0,0,,0,3,3,3,1,3,0,14,14.5,24
406,16,2008-11-28,23.334,CLE,GSW,W,30.39,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,23,25.7,24
407,17,2008-11-29,23.335,CLE,MIL,W,41.22,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,32,21.2,7
408,18,2008-12-03,23.339,CLE,NYK,W,28.09,5,10,0.5,1,4,0.25,10,10,1.0,0,5,5,6,5,1,0,21,27.4,30
409,19,2008-12-05,23.341,CLE,IND,W,37.37,4,12,0.333,0,4,0.0,3,4,0.75,2,6,8,11,1,3,2,11,15.0,32
410,20,2008-12-06,23.342,CLE,CHA,W,27.4,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,25,20.2,27
411,21,2008-12-09,23.345,CLE,TOR,W,30.24,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,31,27.3,19
412,22,2008-12-10,23.346,CLE,PHI,W,39.04,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,29,21.5,-1
413,23,2008-12-12,23.348,CLE,PHI,W,36.5,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,28,26.2,13
414,24,2008-12-13,23.349,CLE,ATL,L,45.4,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,33,35.1,1
415,25,2008-12-17,23.353,CLE,MIN,W,39.38,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,32,29.7,22
416,26,2008-12-19,23.355,CLE,DEN,W,38.45,13,20,0.65,0,2,0.0,7,8,0.875,3,7,10,8,0,0,6,33,26.4,14
417,27,2008-12-21,23.357,CLE,OKC,W,42.46,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,31,26.6,16
418,28,2008-12-23,23.359,CLE,HOU,W,38.2,11,23,0.478,0,3,0.0,5,7,0.714,1,8,9,5,3,1,7,27,17.0,14
419,29,2008-12-25,23.361,CLE,WAS,W,38.13,6,13,0.462,0,2,0.0,6,10,0.6,0,5,5,6,3,1,3,18,15.7,-4
420,30,2008-12-28,23.364,CLE,MIA,W,42.31,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,33,28.9,8
421,31,2008-12-30,24.0,CLE,MIA,L,43.29,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,38,25.9,-6
422,32,2009-01-02,24.003,CLE,CHI,W,37.16,3,8,0.375,2,3,0.667,8,8,1.0,1,9,10,11,2,3,5,16,21.4,27
423,33,2009-01-04,24.005,CLE,WAS,L,40.46,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,30,20.4,0
424,34,2009-01-07,24.008,CLE,CHA,W,30.59,9,16,0.563,0,1,0.0,3,3,1.0,0,4,4,4,2,2,4,21,16.4,23
425,35,2009-01-09,24.01,CLE,BOS,W,35.49,13,25,0.52,3,7,0.429,9,9,1.0,1,6,7,6,4,3,3,38,34.7,20
426,36,2009-01-13,24.014,CLE,MEM,W,40.12,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,30,33.1,21
427,37,2009-01-15,24.016,CLE,CHI,L,44.19,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,28,12.0,2
428,38,2009-01-16,24.017,CLE,NOH,W,42.59,12,24,0.5,0,2,0.0,5,6,0.833,3,11,14,7,3,1,4,29,25.4,19
429,39,2009-01-19,24.02,CLE,LAL,L,42.1,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,23,12.1,-11
430,40,2009-01-21,24.022,CLE,POR,W,42.02,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,34,28.7,14
431,41,2009-01-23,24.024,CLE,GSW,W,40.39,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,32,27.5,12
432,42,2009-01-24,24.025,CLE,UTA,W,41.08,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,33,29.6,16
433,43,2009-01-27,24.028,CLE,SAC,W,37.31,5,10,0.5,0,2,0.0,13,15,0.867,5,10,15,11,0,3,2,23,31.1,6
434,44,2009-01-29,24.03,CLE,ORL,L,37.41,10,27,0.37,0,2,0.0,3,6,0.5,1,7,8,8,1,1,2,23,14.6,-9
435,45,2009-01-30,24.031,CLE,LAC,W,37.08,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,25,22.5,32
436,46,2009-02-01,24.033,CLE,DET,W,38.5,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,33,22.2,-8
437,47,2009-02-03,24.035,CLE,TOR,W,37.31,9,20,0.45,2,5,0.4,13,13,1.0,1,6,7,4,1,2,3,33,26.1,23
438,48,2009-02-04,24.036,CLE,NYK,W,44.03,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,52,42.9,7
439,49,2009-02-08,24.04,CLE,LAL,L,40.08,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,16,13.0,-12
440,50,2009-02-10,24.042,CLE,IND,L,41.1,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,47,37.1,7
441,51,2009-02-11,24.043,CLE,PHO,W,33.17,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,26,22.7,22
442,52,2009-02-18,24.05,CLE,TOR,W,33.12,9,17,0.529,0,3,0.0,2,2,1.0,1,8,9,9,1,1,5,20,17.4,20
443,53,2009-02-20,24.052,CLE,MIL,W,40.04,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,55,39.3,13
444,54,2009-02-22,24.054,CLE,DET,W,30.34,6,13,0.462,0,3,0.0,8,10,0.8,0,5,5,9,2,1,0,20,23.0,22
445,55,2009-02-24,24.056,CLE,MEM,W,29.4,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,15,14.2,13
446,56,2009-02-26,24.058,CLE,HOU,L,33.51,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,21,6.8,-14
447,57,2009-02-27,24.059,CLE,SAS,W,32.08,12,23,0.522,3,6,0.5,3,3,1.0,4,10,14,4,2,0,1,30,27.5,29
448,58,2009-03-01,24.061,CLE,ATL,W,43.43,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,26,23.9,4
449,59,2009-03-02,24.062,CLE,MIA,W,43.4,13,21,0.619,6,7,0.857,10,10,1.0,1,7,8,4,1,1,6,42,32.2,8
450,60,2009-03-04,24.064,CLE,MIL,W,33.12,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,23,20.1,24
451,61,2009-03-06,24.066,CLE,BOS,L,38.17,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,21,13.2,-1
452,62,2009-03-07,24.067,CLE,MIA,W,43.19,5,15,0.333,0,3,0.0,4,7,0.571,2,8,10,12,1,1,2,14,16.2,10
453,63,2009-03-10,24.07,CLE,LAC,W,43.42,10,23,0.435,0,6,0.0,12,16,0.75,4,9,13,11,2,2,4,32,30.1,7
454,64,2009-03-12,24.072,CLE,PHO,W,43.27,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,34,37.0,7
455,65,2009-03-13,24.073,CLE,SAC,W,46.59,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,51,43.4,6
456,66,2009-03-15,24.075,CLE,NYK,W,39.52,9,17,0.529,0,3,0.0,1,3,0.333,1,7,8,10,4,3,3,19,22.4,-1
457,67,2009-03-17,24.077,CLE,ORL,W,42.4,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,43,38.0,5
458,68,2009-03-19,24.079,CLE,POR,W,46.47,10,22,0.455,0,3,0.0,6,11,0.545,0,11,11,10,1,2,0,26,23.7,-1
459,69,2009-03-21,24.081,CLE,ATL,W,40.03,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,22,17.0,10
460,70,2009-03-22,24.082,CLE,NJN,W,39.09,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,30,29.8,14
461,71,2009-03-25,24.085,CLE,NJN,W,39.06,7,14,0.5,1,1,1.0,7,7,1.0,1,7,8,11,1,0,1,22,25.5,19
462,72,2009-03-27,24.087,CLE,MIN,W,33.36,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,25,21.5,25
463,73,2009-03-29,24.089,CLE,DAL,W,31.19,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,24,24.8,15
464,74,2009-03-31,24.091,CLE,DET,W,40.36,9,24,0.375,0,2,0.0,7,8,0.875,1,11,12,3,3,1,1,25,20.2,10
465,75,2009-04-02,24.093,CLE,WAS,L,38.2,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,31,22.9,-13
466,76,2009-04-03,24.094,CLE,ORL,L,32.0,7,20,0.35,2,5,0.4,10,10,1.0,1,8,9,5,1,0,2,26,20.0,-26
467,77,2009-04-05,24.096,CLE,SAS,W,36.43,14,21,0.667,2,5,0.4,8,8,1.0,0,7,7,6,1,0,2,38,33.8,7
468,78,2009-04-08,24.099,CLE,WAS,W,30.51,7,15,0.467,0,2,0.0,7,8,0.875,0,6,6,7,3,0,2,21,20.2,25
469,79,2009-04-10,24.101,CLE,PHI,W,36.34,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,27,23.2,8
470,80,2009-04-12,24.103,CLE,BOS,W,30.22,9,14,0.643,5,8,0.625,6,6,1.0,0,4,4,7,1,1,5,29,25.2,21
471,81,2009-04-13,24.104,CLE,IND,W,38.42,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,37,25.1,8
472,1,2009-10-27,24.301,CLE,BOS,L,44.55,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,38,31.2,0
473,2,2009-10-28,24.302,CLE,TOR,L,39.47,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,23,20.2,2
474,3,2009-10-30,24.304,CLE,MIN,W,33.26,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,24,22.0,17
475,4,2009-10-31,24.305,CLE,CHA,W,37.14,5,11,0.455,0,1,0.0,4,6,0.667,1,6,7,9,0,0,4,14,11.9,19
476,5,2009-11-03,24.308,CLE,WAS,W,35.59,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,27,24.6,5
477,6,2009-11-05,24.31,CLE,CHI,L,38.13,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,25,20.5,-1
478,7,2009-11-06,24.311,CLE,NYK,W,35.37,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,33,28.6,8
479,8,2009-11-11,24.316,CLE,ORL,W,39.07,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,36,26.9,7
480,9,2009-11-12,24.317,CLE,MIA,W,38.53,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,34,28.8,6
481,10,2009-11-14,24.319,CLE,UTA,W,37.33,6,15,0.4,0,3,0.0,9,12,0.75,0,6,6,9,2,1,2,21,20.1,6
482,11,2009-11-17,24.322,CLE,GSW,W,38.32,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,31,30.8,8
483,12,2009-11-18,24.323,CLE,WAS,L,35.08,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,34,25.7,-12
484,13,2009-11-20,24.325,CLE,IND,W,37.53,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,40,35.0,4
485,14,2009-11-21,24.326,CLE,PHI,W,38.32,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,32,24.6,11
486,15,2009-11-25,24.33,CLE,DET,W,38.49,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,34,24.1,12
487,16,2009-11-27,24.332,CLE,CHA,L,38.01,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,25,12.3,3
488,17,2009-11-28,24.333,CLE,DAL,W,36.21,10,20,0.5,0,2,0.0,5,7,0.714,0,5,5,12,0,0,1,25,22.3,8
489,18,2009-12-02,24.337,CLE,PHO,W,34.37,6,15,0.4,0,3,0.0,0,0,,1,7,8,10,1,1,3,12,12.4,19
